what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1463228394035
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1463228394037
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1463228394040
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1463228394042
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1463228394045
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1463228394046
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1463228394049
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1463228394050
os,sysinfo,,,"win32",1463228394063
arch,sysinfo,,,"x86_64",1463228394063
ws,sysinfo,,,"win32",1463228394063
locale,sysinfo,,,"en_US",1463228394063
processors,sysinfo,,,"4",1463228394063
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1463228394063
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1463228394063
java.specification.name,sysinfo,,,"Java Platform API Specification",1463228394063
java.specification.vendor,sysinfo,,,"Oracle Corporation",1463228394063
java.specification.version,sysinfo,,,"1.7",1463228394063
java.vendor,sysinfo,,,"Oracle Corporation",1463228394063
java.version,sysinfo,,,"1.7.0_79",1463228394063
java.vm.info,sysinfo,,,"mixed mode",1463228394063
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1463228394064
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1463228394064
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1463228394064
java.vm.specification.version,sysinfo,,,"1.7",1463228394064
java.vm.vendor,sysinfo,,,"Oracle Corporation",1463228394064
java.vm.version,sysinfo,,,"24.79-b02",1463228394064
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1463228446961
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1463228446966
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1463228446971
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1463228447171
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1463228447329
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1463228459629
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1463228459779
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463228462333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1463228465583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463228466715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1463228466766
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1463228469600
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1463228469740
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1463228469807
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1463228470581
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1463228470688
started,bundle,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse",1463228473796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463228475103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463228475277
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1463228480526
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1463228480564
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1463228480604
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1463228480625
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1463228480763
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1463228480771
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1463228480778
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1463228480822
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1463228480834
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1463228480930
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1463228480932
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1463228481512
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1463228481837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1463228487096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1463228489100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463228503903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463228504062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1463228507619
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1463228512291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1463228517794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463228560694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463228560850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463228569470
